Open,High,Low,Close,Volume,Dividends,Stock Splits,date
7173.99,7195.72,7094.43,7128.6,1737370000,0,0,2018-04-23
7160.77,7171.67,6961.52,7007.35,2149250000,0,0,2018-04-24
7009.99,7030.74,6926.97,7003.74,2026690000,0,0,2018-04-25
7080.49,7143.94,7055.66,7118.68,2127140000,0,0,2018-04-26
7195.52,7197.15,7083.95,7119.8,2027530000,0,0,2018-04-27
7133.95,7169.8,7065.41,7066.27,1987020000,0,0,2018-04-30
7053.65,7133.27,7036.18,7130.7,1929110000,0,0,2018-05-01
7138.45,7169.46,7094.72,7100.9,2144200000,0,0,2018-05-02
7065.03,7112.59,6991.14,7088.15,2345740000,0,0,2018-05-03
7065.67,7228.26,7057.89,7209.62,2022230000,0,0,2018-05-04
7241.82,7291.74,7235.76,7265.21,1939980000,0,0,2018-05-07
7255.34,7278.81,7224.7,7266.9,2054830000,0,0,2018-05-08
7281.53,7344.8,7259.05,7339.91,2241480000,0,0,2018-05-09
7355.9,7414.15,7353.63,7404.97,2233460000,0,0,2018-05-10
7393.97,7417.67,7372.26,7402.88,2083030000,0,0,2018-05-11
7429.45,7458.42,7401.89,7411.32,2075670000,0,0,2018-05-14
7361.3,7363.52,7320.97,7351.63,2114040000,0,0,2018-05-15
7356.22,7413.32,7356.16,7398.3,2083660000,0,0,2018-05-16
7379.58,7425.39,7350.46,7382.47,1931700000,0,0,2018-05-17
7364.34,7381.16,7343.97,7354.34,1966710000,0,0,2018-05-18
7406.34,7431.83,7368.21,7394.04,1949100000,0,0,2018-05-21
7420.85,7432.53,7370.33,7378.46,1908280000,0,0,2018-05-22
7335.03,7426.78,7334.62,7425.96,1980450000,0,0,2018-05-23
7421.99,7435.38,7357.5,7424.43,1992460000,0,0,2018-05-24
7422.2,7452.85,7415.58,7433.85,1757660000,0,0,2018-05-25
7398.51,7435.13,7354.29,7396.59,2087370000,0,0,2018-05-29
7428.41,7473.81,7423.67,7462.45,2049450000,0,0,2018-05-30
7455.58,7492.42,7431.41,7442.12,2514610000,0,0,2018-05-31
7487.66,7557.38,7487.23,7554.33,2208600000,0,0,2018-06-01
7570.08,7607.17,7561.2,7606.46,2142790000,0,0,2018-06-04
7621.36,7644.48,7602.38,7637.86,2058630000,0,0,2018-06-05
7652.8,7691.65,7622.31,7689.24,2191750000,0,0,2018-06-06
7697.41,7697.41,7597.66,7635.07,2328280000,0,0,2018-06-07
7607.74,7653.58,7595.14,7645.51,1941580000,0,0,2018-06-08
7647.24,7677.29,7642.87,7659.93,1942940000,0,0,2018-06-11
7673.87,7708.25,7669.53,7703.79,2006760000,0,0,2018-06-12
7713.9,7748.96,7686.65,7695.7,2172770000,0,0,2018-06-13
7723.53,7768.6,7723.53,7761.04,2188230000,0,0,2018-06-14
7725.03,7755.72,7704.34,7746.38,3043790000,0,0,2018-06-15
7692.96,7749.36,7676.83,7747.03,2093950000,0,0,2018-06-18
7658.47,7727.41,7635.73,7725.59,2269000000,0,0,2018-06-19
7764.15,7806.6,7755.48,7781.51,2305100000,0,0,2018-06-20
7800.3,7803.45,7699.2,7712.95,2315880000,0,0,2018-06-21
7739.69,7739.71,7679.12,7692.82,3928340000,0,0,2018-06-22
7631.12,7639.73,7477.73,7532.01,2415090000,0,0,2018-06-25
7553.74,7597.49,7527.0,7561.63,2058640000,0,0,2018-06-26
7586.33,7610.67,7444.17,7445.08,2306430000,0,0,2018-06-27
7438.11,7526.07,7419.56,7503.68,2195400000,0,0,2018-06-28
7544.13,7573.59,7502.95,7510.3,2192010000,0,0,2018-06-29
7451.9,7568.1,7443.1,7567.69,1767910000,0,0,2018-07-02
7593.63,7594.33,7498.5,7502.67,1179310000,0,0,2018-07-03
7550.66,7589.19,7511.43,7586.43,1745030000,0,0,2018-07-05
7595.93,7695.81,7588.65,7688.39,1704580000,0,0,2018-07-06
7731.74,7757.28,7702.06,7756.2,1837330000,0,0,2018-07-09
7770.63,7777.48,7731.98,7759.2,1725210000,0,0,2018-07-10
7698.51,7748.16,7696.58,7716.61,1761420000,0,0,2018-07-11
7752.71,7825.67,7746.76,7823.92,1926110000,0,0,2018-07-12
7827.62,7843.52,7803.34,7825.98,1714140000,0,0,2018-07-13
7831.74,7838.82,7791.98,7805.72,1730190000,0,0,2018-07-16
7751.97,7867.15,7749.61,7855.12,1740680000,0,0,2018-07-17
7859.43,7863.77,7822.83,7854.44,1857670000,0,0,2018-07-18
7829.8,7849.85,7811.15,7825.3,1853030000,0,0,2018-07-19
7843.08,7860.25,7815.86,7820.2,1786250000,0,0,2018-07-20
7806.93,7846.76,7776.55,7841.87,1654290000,0,0,2018-07-23
7914.35,7928.79,7814.33,7840.77,2014850000,0,0,2018-07-24
7839.09,7933.31,7838.76,7932.24,1902790000,0,0,2018-07-25
7848.04,7881.3,7834.08,7852.18,2263070000,0,0,2018-07-26
7889.75,7889.75,7698.96,7737.42,2176170000,0,0,2018-07-27
7735.27,7740.26,7604.24,7630.0,2143410000,0,0,2018-07-30
7654.59,7709.49,7614.84,7671.79,2195050000,0,0,2018-07-31
7701.82,7732.68,7670.71,7707.29,2223550000,0,0,2018-08-01
7659.52,7808.85,7659.52,7802.69,2081300000,0,0,2018-08-02
7819.23,7824.06,7783.3,7812.01,2018700000,0,0,2018-08-03
7809.54,7859.68,7801.88,7859.68,2238170000,0,0,2018-08-06
7878.62,7898.2,7868.65,7883.66,2197590000,0,0,2018-08-07
7880.0,7901.69,7864.46,7888.33,2087850000,0,0,2018-08-08
7886.52,7923.35,7881.06,7891.78,2032950000,0,0,2018-08-09
7834.71,7866.19,7818.37,7839.11,2095180000,0,0,2018-08-10
7848.0,7888.66,7814.27,7819.71,1914240000,0,0,2018-08-13
7847.88,7878.23,7815.5,7870.89,1917360000,0,0,2018-08-14
7810.02,7832.66,7732.69,7774.12,2286960000,0,0,2018-08-15
7826.95,7849.67,7795.74,7806.52,1979540000,0,0,2018-08-16
7786.64,7830.78,7752.68,7816.33,1843150000,0,0,2018-08-17
7834.37,7837.14,7787.9,7821.01,1698970000,0,0,2018-08-20
7840.09,7897.68,7836.79,7859.17,1766630000,0,0,2018-08-21
7844.04,7897.63,7840.84,7889.1,1660460000,0,0,2018-08-22
7886.47,7926.32,7866.53,7878.46,1879890000,0,0,2018-08-23
7907.81,7949.71,7907.1,7945.98,1886600000,0,0,2018-08-24
7989.64,8024.94,7976.6,8017.9,2319130000,0,0,2018-08-27
8039.01,8046.31,8009.59,8030.04,1961300000,0,0,2018-08-28
8044.34,8113.56,8042.1,8109.69,1897000000,0,0,2018-08-29
8094.2,8133.3,8069.57,8088.36,2014450000,0,0,2018-08-30
8079.31,8119.82,8079.31,8109.54,1899910000,0,0,2018-08-31
8087.95,8104.07,8042.14,8091.25,2229520000,0,0,2018-09-04
8073.53,8077.84,7962.35,7995.17,2596780000,0,0,2018-09-05
7998.27,8001.97,7885.49,7922.73,2368680000,0,0,2018-09-06
7878.79,7962.53,7873.93,7902.54,2146380000,0,0,2018-09-07
7939.57,7945.03,7890.39,7924.16,2041450000,0,0,2018-09-10
7894.87,7986.32,7880.92,7972.47,2336600000,0,0,2018-09-11
7958.87,7965.39,7884.05,7954.23,2341850000,0,0,2018-09-12
7999.93,8037.51,7989.85,8013.71,2318720000,0,0,2018-09-13
8026.16,8040.83,7979.78,8010.04,2033720000,0,0,2018-09-14
7992.21,8002.78,7890.07,7895.79,2284140000,0,0,2018-09-17
7903.57,7986.1,7901.01,7956.11,2317990000,0,0,2018-09-18
7962.55,7976.12,7917.73,7950.04,2156730000,0,0,2018-09-19
7993.53,8039.06,7986.41,8028.23,2287150000,0,0,2018-09-20
8041.69,8057.26,7979.67,7986.96,3706820000,0,0,2018-09-21
7939.38,7997.9,7912.47,7993.25,2416380000,0,0,2018-09-24
8001.59,8014.12,7979.29,8007.47,2288140000,0,0,2018-09-25
8011.68,8067.03,7982.76,7990.37,2297030000,0,0,2018-09-26
8021.22,8071.56,8017.91,8041.97,2053770000,0,0,2018-09-27
8024.5,8065.06,8015.87,8046.35,2323940000,0,0,2018-09-28
8091.5,8107.38,8019.77,8037.3,2283230000,0,0,2018-10-01
8024.47,8054.15,7983.99,7999.55,2391370000,0,0,2018-10-02
8034.65,8053.93,8012.03,8025.09,3057330000,0,0,2018-10-03
7993.33,7997.17,7833.16,7879.51,3284550000,0,0,2018-10-04
7874.76,7902.67,7715.97,7788.45,2672900000,0,0,2018-10-05
7747.1,7797.32,7654.84,7735.95,2239640000,0,0,2018-10-08
7728.51,7799.75,7718.95,7738.02,2459040000,0,0,2018-10-09
7694.08,7701.2,7420.56,7422.05,3077330000,0,0,2018-10-10
7388.07,7493.21,7274.04,7329.06,3139290000,0,0,2018-10-11
